Datetime,rainfall
2014-05-01,3.1999999999999944
2014-05-02,8.879999999999994
2014-05-03,2.7299999999999955
2014-05-04,5.319999999999993
2014-05-05,2.2999999999999994
2014-05-06,1.460000000000001
2014-05-07,1.740000000000001
2014-05-08,6.6399999999999775
2014-05-09,18.000000000000007
2014-05-10,1.0900000000000007
2014-05-11,4.689999999999993
2014-05-12,1.5000000000000009
2014-05-13,4.839999999999991
2014-05-14,0.30000000000000016
2014-05-15,0.19
2014-05-16,0.3000000000000001
2014-05-17,0.26
2014-05-18,0.26000000000000006
2014-05-19,0.5700000000000003
2014-05-20,1.0100000000000005
2014-05-21,4.289999999999995
2014-05-22,0.7500000000000003
2014-05-23,0.7000000000000003
2014-05-24,0.5000000000000001
2014-05-25,0.7600000000000005
2014-05-26,0.8300000000000005
2014-05-27,5.009999999999994
2014-05-28,7.509999999999991
2014-05-29,6.049999999999979
2014-05-30,2.1000000000000005
2014-05-31,2.899999999999997
2014-06-01,2.1500000000000004
2014-06-02,2.7299999999999947
2014-06-03,5.129999999999988
2014-06-04,1.3000000000000007
2014-06-05,0.9200000000000005
2014-06-06,2.9899999999999967
2014-06-07,2.5099999999999976
2014-06-08,3.6499999999999932
2014-06-09,1.8400000000000012
2014-06-10,5.409999999999996
2014-06-11,2.120000000000001
2014-06-12,17.889999999999983
2014-06-13,10.829999999999991
2014-06-14,1.2100000000000006
2014-06-15,0.5300000000000002
2014-06-16,3.539999999999993
2014-06-17,1.3700000000000008
2014-06-18,2.149999999999999
2014-06-19,2.010000000000001
2014-06-20,7.289999999999991
2014-06-21,5.839999999999993
2014-06-22,7.749999999999989
2014-06-23,1.4900000000000009
2014-06-24,5.759999999999997
2014-06-25,0.6800000000000004
2014-06-26,2.509999999999995
2014-06-27,1.1200000000000006
2014-06-28,0.4800000000000002
2014-06-29,13.349999999999977
2014-06-30,2.9399999999999897
2014-07-01,3.109999999999993
2014-07-02,1.0000000000000004
2014-07-03,0.6600000000000005
2014-07-04,1.3900000000000003
2014-07-05,0.3600000000000002
2014-07-06,0.27
2014-07-07,0.31000000000000005
2014-07-08,0.1
2014-07-09,0.25000000000000006
2014-07-10,6.269999999999995
2014-07-11,0.8600000000000004
2014-07-12,0.7500000000000004
2014-07-13,0.6300000000000003
2014-07-14,2.0300000000000007
2014-07-15,2.9999999999999942
2014-07-16,3.359999999999996
2014-07-17,1.3200000000000007
2014-07-18,1.6200000000000012
2014-07-19,0.8600000000000004
2014-07-20,1.1700000000000006
2014-07-21,2.040000000000001
2014-07-22,1.7900000000000011
2014-07-23,2.1000000000000005
2014-07-24,2.19
2014-07-25,1.3900000000000008
2014-07-26,1.570000000000001
2014-07-27,1.610000000000001
2014-07-28,2.23
2014-07-29,3.2699999999999956
2014-07-30,3.12
2014-07-31,
2014-08-01,0.9400000000000006
2014-08-02,1.9300000000000015
2014-08-03,1.7800000000000011
2014-08-04,1.560000000000001
2014-08-05,1.320000000000001
2014-08-06,1.440000000000001
2014-08-07,10.61999999999999
2014-08-08,1.8000000000000012
2014-08-09,1.4200000000000008
2014-08-10,2.6699999999999973
2014-08-11,4.089999999999999
2014-08-12,8.90999999999998
2014-08-13,6.039999999999989
2014-08-14,8.279999999999982
2014-08-15,4.949999999999994
2014-08-16,4.209999999999992
2014-08-17,3.069999999999994
2014-08-18,9.469999999999976
2014-08-19,21.570000000000032
2014-08-20,29.810000000000002
2014-08-21,1.6400000000000006
2014-08-22,0.7200000000000004
2014-08-23,14.469999999999995
2014-08-24,0.5100000000000002
2014-08-25,7.639999999999993
2014-08-26,12.679999999999987
2014-08-27,14.379999999999997
2014-08-28,2.479999999999999
2014-08-29,3.549999999999999
2014-08-30,0.060000000000000005
