JobID|User|estim|wait|run|
388485|Hamalainen|3600|11808|1410|
2018248|Virtanen|86400|805|599|
1155239|Heikkinen|1200|124|1|
548275|Nieminen|255600|62777|3342|
368549|Hamalainen|122400|98|20252|
1994745|Makinen|86400|527|1632|
375590|Hamalainen|43200|1545|2209|
2030064|Heikkinen|86400|3|6|
574428|Heikkinen|255600|35479|67|
2027729|Virtanen|86400|2260|669|
1032035|Koskinen|255600|44666|3872|
1385633|Virtanen|900|1085|287|
1616283|Makinen|172800|37|123282|
1160605|Heikkinen|1200|593|76|
1064272|Heikkinen|255600|22862|2088|
1686343|Korhonen|7200|1|0|
387304|Laine|259200|320|78|
545976|Nieminen|255600|59488|4011|
168196|Heikkinen|259200|812|259205|
1841653|Nieminen|14400|1366|1|
1647534|Korhonen|7200|4506|207|
1425599|Heikkinen|259200|100|82992|
564724|Jarvinen|255600|23392|1919|
1494021|Koskinen|18000|2|0|
